THUMB_pos_X;THUMB_pos_Y;THUMB_pos_Z;MIDDLE_pos_X;MIDDLE_pos_Y;MIDDLE_pos_Z;Distance;MIDDLE_vel;MIDDLE_acc
721,45;122,85;21,23;778,34;195,79;20,72;92,5;262,84;974,64
720,88;121,93;18,28;777,94;194,73;18,28;92,5;272,1;2965,9
720,46;121,18;16,14;777,46;193,79;15,74;92,31;281,25;4275,94
720,45;121,68;16,21;776,96;192,8;13,09;90,89;227,81;5266,42
720,52;121,98;16,23;776,66;191,96;11,64;89,84;83,83;5487,24
720,58;122,19;16,38;776,6;191,74;11,84;89,42;29,67;5053,9
720,8;122,45;16,49;776,69;191,44;11,92;88,91;26,55;3789,51
720,95;122,62;16,58;776,68;191,22;11,92;88,51;16,29;2087,31
720,99;122,77;16,61;776,68;191,11;11,9;88,29;6,83;1264,74
721,02;123;16,57;776,69;191,11;11,84;88,1;6,16;1607,29
721,02;123,3;16,49;776,7;191,16;11,79;87,91;9,47;811,59
720,99;123,6;16,43;776,69;191,26;11,72;87,77;14,03;494,83
720,87;123,95;16,34;776,66;191,42;11,69;87,67;18,27;384,38
720,75;124,31;16,27;776,65;191,61;11,62;87,61;20,38;166,05
720,62;124,64;16,14;776,63;191,81;11,57;87,58;22,86;116,2
720,44;124,96;16,07;776,6;192,04;11,49;87,61;22,4;168,35
720,33;125,22;16,02;776,58;192,24;11,46;87,62;21,34;256,94
720,26;125,43;15,99;776,46;192,42;11,36;87,57;17,68;382,7
720,2;125,58;15,98;776,45;192,54;11,32;87,57;11,94;396,6
720,15;125,64;15,96;776,41;192,65;11,28;87,62;7,85;419,14
720,14;125,66;15,95;776,41;192,68;11,26;87,63;5,06;285,14
720,13;125,67;15,95;776,37;192,73;11,24;87,64;2,76;209,31
720,11;125,65;15,93;776,39;192,71;11,22;87,68;1,41;90,97
720,13;125,64;15,94;776,38;192,73;11,22;87,68;1,48;65,3
720,11;125,63;15,93;776,37;192,73;11,21;87,69;2,14;68,11
720,09;125,66;15,95;776,37;192,76;11,18;87,71;3,08;88,2
720,03;125,71;15,9;776,37;192,79;11,18;87,72;1,97;117,23
720,01;125,75;15,87;776,39;192,78;11,17;87,72;2,9;62,88
720;125,8;15,85;776,39;192,84;11,17;87,72;3,63;69,09
